"GENEID","SYMBOL"
"ENSG00000084674","APOB"
"ENSG00000116039","ATP6V1B1"
"ENSG00000139304","PTPRQ"
"ENSG00000149021","SCGB1A1"
"ENSG00000160183","TMPRSS3"
"ENSG00000164007","CLDN19"
"ENSG00000165794","SLC39A2"
"ENSG00000170498","KISS1"
"ENSG00000171885","AQP4"
"ENSG00000176289","IDSP1"
"ENSG00000186007","LEMD1"
"ENSG00000189182","KRT77"
"ENSG00000205426","KRT81"
"ENSG00000221826","PSG3"
"ENSG00000224438","RP4-816N1.1"
"ENSG00000225521","AC005237.4"
"ENSG00000241926","RP5-1154E9.7"
"ENSG00000242221","PSG2"
"ENSG00000243686","RPLP1P11"
"ENSG00000251357","AP000350.10"
"ENSG00000252558","RNU6-914P"
"ENSG00000259459","RP11-321G12.1"
"ENSG00000260272","RP11-20I23.1"
"ENSG00000271978","RP11-428J1.4"
"ENSG00000272104","XXcos-LUCA11.5"
