"GENEID","SYMBOL"
"ENSG00000116039","ATP6V1B1"
"ENSG00000139304","PTPRQ"
"ENSG00000164007","CLDN19"
"ENSG00000171885","AQP4"
"ENSG00000176289","IDSP1"
"ENSG00000221826","PSG3"
"ENSG00000224438","RP4-816N1.1"
"ENSG00000225521","AC005237.4"
"ENSG00000228347","FTLP17"
"ENSG00000237475","RPL7P53"
"ENSG00000241790","ENO1P4"
"ENSG00000241926","RP5-1154E9.7"
"ENSG00000242221","PSG2"
"ENSG00000242366","UGT1A8"
"ENSG00000243686","RPLP1P11"
"ENSG00000252558","RNU6-914P"
"ENSG00000258150","RP11-345J4.3"
"ENSG00000260965","CTC-661I16.1"
"ENSG00000266891","RP11-692N5.2"
"ENSG00000270025","BMS1P7"
"ENSG00000272104","XXcos-LUCA11.5"
"ENSG00000279117","CTD-2562J17.6"
