"GENEID","SYMBOL"
"ENSG00000095596","CYP26A1"
"ENSG00000108932","SLC16A6"
"ENSG00000155961","RAB39B"
"ENSG00000169783","LINGO1"
"ENSG00000197977","ELOVL2"
"ENSG00000204779","FOXD4L5"
"ENSG00000223345","HIST2H2BA"
"ENSG00000230534","RP11-297A16.2"
"ENSG00000235100","RP11-80H5.9"
"ENSG00000235643","RP1-69M21.2"
"ENSG00000238103","RPL9P7"
"ENSG00000241360","PDXP"
"ENSG00000249006","RP11-317B7.2"
"ENSG00000250950","RP11-33B1.3"
"ENSG00000251226","RP11-469N6.1"
"ENSG00000256155","RP11-277P12.9"
"ENSG00000259347","RP11-798K3.2"
"ENSG00000260423","RP13-735L24.1"
"ENSG00000260571","BNIP3P5"
"ENSG00000260583","AP000223.42"
"ENSG00000261611","AC010547.9"
"ENSG00000263968","RN7SL381P"
"ENSG00000272425","RP11-363E6.4"
"ENSG00000272825","LL21NC02-1C16.2"
"ENSG00000273374","RP11-383I23.2"
"ENSG00000277159","RP11-88E10.4"
"ENSG00000279296","RP11-609D21.3"
"ENSG00000280387","RP5-1153D9.5"
