"GENEID","SYMBOL"
"ENSG00000118946","PCDH17"
"ENSG00000128645","HOXD1"
"ENSG00000155961","RAB39B"
"ENSG00000169783","LINGO1"
"ENSG00000180422","LINC00304"
"ENSG00000184351","KRTAP19-1"
"ENSG00000186051","TAL2"
"ENSG00000196557","CACNA1H"
"ENSG00000224451","ATP5F1P1"
"ENSG00000225411","RP11-764K9.1"
"ENSG00000230534","RP11-297A16.2"
"ENSG00000231341","VDAC1P6"
"ENSG00000235643","RP1-69M21.2"
"ENSG00000238103","RPL9P7"
"ENSG00000239002","SCARNA10"
"ENSG00000241360","PDXP"
"ENSG00000249006","RP11-317B7.2"
"ENSG00000250950","RP11-33B1.3"
"ENSG00000254396","RP11-56F10.3"
"ENSG00000256155","RP11-277P12.9"
"ENSG00000259347","RP11-798K3.2"
"ENSG00000260571","BNIP3P5"
"ENSG00000260583","AP000223.42"
"ENSG00000261334","RP11-65J3.14"
"ENSG00000261611","AC010547.9"
"ENSG00000263968","RN7SL381P"
"ENSG00000267246","RP11-798G7.7"
"ENSG00000272234","CTD-2325A15.5"
"ENSG00000272425","RP11-363E6.4"
"ENSG00000272541","XXbac-BPGBPG55C20.1"
"ENSG00000279686","ECSCR"
"ENSG00000280387","RP5-1153D9.5"
