"gene_name","logFC","logCPM","LR","PValue","group"
"ENSG00000007001_UPP2",-3.25687140773549,-3.58823549686751,8.96238036453024,0.00275595580474769,"Down"
"ENSG00000017427_IGF1",-3.24118239171581,-3.59351907059078,8.83575385413967,0.00295385597966769,"Down"
"ENSG00000089012_SIRPG",-3.54165922831428,-3.43663140687774,12.1312511901667,0.000495838417497467,"Down"
"ENSG00000100249_C22orf31",-3.25298025942,-3.58966940687894,8.91935316385608,0.00282164430700564,"Down"
"ENSG00000103426_CORO7-PAM16",-5.64310801184618,-2.38268171982368,17.8655291592104,2.37076678217638e-05,"Down"
"ENSG00000103460_TOX3",-3.22695179070522,-3.20687901620467,14.3280626301586,0.000153558613931217,"Down"
"ENSG00000111305_GSG1",-3.12450483871734,-3.24517417652469,13.2155511695763,0.00027763584144625,"Down"
"ENSG00000116039_ATP6V1B1",-3.48552180243178,0.367895198966134,183.393861000254,8.79913719471682e-42,"Down"
"ENSG00000117322_CR2",-3.2328124493633,-3.59359846635153,8.70091617996098,0.00318050153692603,"Down"
"ENSG00000119973_PRLHR",-3.26272997494753,-3.58560467074701,8.94287832970988,0.00278553443772333,"Down"
"ENSG00000120215_MLANA",-3.24118239171581,-3.59351907059078,8.83575385413967,0.00295385597966769,"Down"
"ENSG00000122756_CNTFR",-3.44154521665933,-3.54687798791763,10.2972474434895,0.00133228790675623,"Down"
"ENSG00000127324_TSPAN8",-3.25589784604902,-3.58834715546535,8.92958970002473,0.00280587371163912,"Down"
"ENSG00000132744_ACY3",-3.64287689953495,-3.49011111302046,11.8962365353212,0.000562474753524218,"Down"
"ENSG00000134240_HMGCS2",-3.34140879299867,-2.79183263398483,18.2220138973102,1.96593380268912e-05,"Down"
"ENSG00000139304_PTPRQ",-3.16039629523245,-1.8303119920674,50.0155523321945,1.52532206819772e-12,"Down"
"ENSG00000144837_PLA1A",-3.4845665310282,-3.53057633674656,10.4492395736505,0.00122699957616321,"Down"
"ENSG00000145002_FAM86B2",-3.47737776824325,-3.53230626290438,10.4604212929647,0.00121959460687613,"Down"
"ENSG00000157766_ACAN",-3.11782929433279,-2.02399737605967,11.2472975144429,0.000797390297233291,"Down"
"ENSG00000160801_PTH1R",-3.12751432803097,-3.24365296332049,13.1865004465944,0.000281972960073515,"Down"
"ENSG00000164007_CLDN19",-3.64030170100827,-3.03577826262113,20.76360709943,5.19610573547297e-06,"Down"
"ENSG00000169413_RNASE6",-3.28113139963405,-3.57743774626927,9.04635091222078,0.00263219660320547,"Down"
"ENSG00000169508_GPR183",-3.23434858833657,-3.59312204723337,8.70382603663728,0.00317542851152043,"Down"
"ENSG00000171885_AQP4",-3.08404828924787,-1.95657941950908,19.3851843046422,1.06832655511728e-05,"Down"
"ENSG00000173578_XCR1",-3.32236191398535,-3.5639395161344,9.18510206404509,0.00243992926872022,"Down"
"ENSG00000174680_GRIK1-AS1",-3.01489735421952,-3.64150687394454,7.45585364336326,0.00632304854365157,"Down"
"ENSG00000176253_OR4K13",-3.01943981379482,-3.64049080800669,7.47756131237929,0.00624726296378428,"Down"
"ENSG00000176289_IDSP1",-3.63674068001065,-2.54745439616062,26.9454109593103,2.09283457297417e-07,"Down"
"ENSG00000176812_AC112778.1",-3.33185532000768,-3.57251295379581,9.44763894714865,0.00211421083786955,"Down"
"ENSG00000177138_FAM9B",-3.43557684199864,-3.54661376867121,10.1686427683063,0.00142849393581743,"Down"
"ENSG00000177807_KCNJ10",-3.0706342762853,-3.61879173814145,7.63624649236802,0.00572068377145419,"Down"
"ENSG00000180347_ITPRID1",-3.02577740584991,-3.63644929409767,7.49110705291808,0.00620044259703354,"Down"
"ENSG00000182348_ZNF804B",-3.62882825451218,-3.49646556780707,11.8243843484334,0.000584600408253066,"Down"
"ENSG00000183148_ANKRD20A2",-3.05647614563923,-3.27516033468368,10.1924993887498,0.00141013053343389,"Down"
"ENSG00000183862_CNGA2",-3.01489735421952,-3.64150687394454,7.45585364336326,0.00632304854365157,"Down"
"ENSG00000184188_AC026410.1",-3.77577130698093,-3.45681585539665,13.1900566403461,0.000281438391783798,"Down"
"ENSG00000186810_CXCR3",-4.15113561811468,-3.33526717627568,17.2594661907592,3.26068951998695e-05,"Down"
"ENSG00000188828_GLRA4",-3.25622854782408,-3.58784548252396,8.88411665790891,0.00287662187071268,"Down"
"ENSG00000189182_KRT77",-5.68243293679017,-1.50211607835036,22.3553431841645,2.26581768070244e-06,"Down"
"ENSG00000205693_MANSC4",-3.01355046314267,-3.64139115382143,7.43388773082598,0.00640069121959182,"Down"
"ENSG00000212658_KRTAP29-1",-4.0788353473877,-3.35531573298823,16.2702944648978,5.49181943198737e-05,"Down"
"ENSG00000213335_CLNS1AP1",-3.18713727294536,-3.22308258894751,13.8780511330819,0.00019506324413907,"Down"
"ENSG00000213467_HMGB1P37",-3.32294007779344,-3.57548551166368,9.42787973594958,0.00213711234257728,"Down"
"ENSG00000213538_KRT8P41",-3.2264465932626,-3.59765874097286,8.77770076003048,0.00304935324268723,"Down"
"ENSG00000213671_OLA1P2",-3.50850866848166,-3.52943406077426,10.7944084327801,0.00101807141828282,"Down"
"ENSG00000213727_AP000533.1",-4.25261663329186,-3.28307642481908,17.5827032516808,2.75078998518038e-05,"Down"
"ENSG00000214035_AC073310.1",-3.67076535895037,-2.8582194846382,19.4307598241346,1.04313386945396e-05,"Down"
"ENSG00000214147_AC092952.1",-3.62816617456386,-3.49677236870506,11.8214845203191,0.000585511583963907,"Down"
"ENSG00000214691_LINC01913",-4.76496322313569,-3.08406278763589,26.2995827970401,2.92351823020728e-07,"Down"
"ENSG00000215583_ASS1P6",-4.04849142878394,-3.36792154578672,15.8899774313324,6.71332909476981e-05,"Down"
"ENSG00000215805_AL356361.1",-4.03868710362828,-3.37280400931004,15.8676241736569,6.79309307701404e-05,"Down"
"ENSG00000216347_RPL10P10",-5.2671541471517,-2.79416359864852,33.5907658561451,6.8014851043834e-09,"Down"
"ENSG00000216819_TUBB2BP1",-4.05027957114955,-3.36750332364835,15.9039057091769,6.66410534488608e-05,"Down"
"ENSG00000217791_ASS1P9",-5.39734245869848,-2.65120524807553,29.1098435588143,6.83886262977099e-08,"Down"
"ENSG00000218631_AL117344.1",-3.94737336947753,-3.39907718411146,14.7999645669578,0.000119537747827708,"Down"
"ENSG00000219807_ARF1P1",-3.09359093726226,-3.1780532776745,11.7647816365598,0.000603619631596631,"Down"
"ENSG00000219870_BRK1P1",-3.0137343254895,-3.64178229934122,7.44634788412223,0.00635652975987997,"Down"
"ENSG00000220240_AL157777.2",-3.00930335469218,-3.64171060021253,7.38395646818949,0.00658082412225667,"Down"
"ENSG00000221826_PSG3",-3.74114585780028,-1.63508272865894,16.5652212171711,4.70051751335645e-05,"Down"
"ENSG00000224083_MTCO1P11",-3.54836738356458,1.16582867846518,5.90107506185007,0.0151316460529775,"Down"
"ENSG00000224337_FAM8A3P",-3.44265958050288,-3.54673671942226,10.3085425841574,0.00132415814999306,"Down"
