"gene_name","logFC","logCPM","LR","PValue","group"
"ENSG00000084674_APOB",-3.26162495318803,-1.93549551060201,42.649428815208,6.54835475012743e-11,"Down"
"ENSG00000103426_CORO7-PAM16",-6.14183225071111,-2.59922359902663,56.1946312198347,6.56405297827341e-14,"Down"
"ENSG00000105549_THEG",-3.04764411675186,-3.23063058201981,16.4527521187721,4.98777208548247e-05,"Down"
"ENSG00000113924_HGD",-3.03061208129589,-0.878473249715607,66.9616279586003,2.76843646423672e-16,"Down"
"ENSG00000116039_ATP6V1B1",-3.83562253386226,1.32842880107795,196.039168232727,1.52832724565437e-44,"Down"
"ENSG00000123405_NFE2",-3.01775438815563,-1.68556841706321,44.6669349963467,2.3356859569746e-11,"Down"
"ENSG00000127588_GNG13",-3.17468262836952,-3.08776806115863,19.797932780574,8.60757198033151e-06,"Down"
"ENSG00000134240_HMGCS2",-3.54991337025217,-3.00401207962434,28.4071897706268,9.82995657583116e-08,"Down"
"ENSG00000139304_PTPRQ",-3.10066334656978,-2.13905381984704,43.5685421725165,4.09366960571164e-11,"Down"
"ENSG00000157766_ACAN",-3.49881724493926,-2.23789912597212,32.155500392548,1.42313221078462e-08,"Down"
"ENSG00000160183_TMPRSS3",-3.29314722840631,-1.55638303201246,41.8784072829859,9.71293411189776e-11,"Down"
"ENSG00000164007_CLDN19",-3.88494805752751,-3.125405145424,24.8261970508196,6.27389908320433e-07,"Down"
"ENSG00000170498_KISS1",-3.90230262843526,-1.4169412381146,48.2245297366177,3.80103515961991e-12,"Down"
"ENSG00000171119_NRTN",-3.02403973037884,-2.26464298543708,35.4607740584132,2.60238910436384e-09,"Down"
"ENSG00000171885_AQP4",-3.57889339929571,-1.36847181154438,72.4210019262764,1.73853880117915e-17,"Down"
"ENSG00000176289_IDSP1",-4.10474773085398,-2.33104768533925,48.1309092829047,3.9869183717203e-12,"Down"
"ENSG00000189182_KRT77",-6.22629469694327,-1.71958503692062,77.0493549356424,1.667386546789e-18,"Down"
