"gene_name","logFC","logCPM","LR","PValue","group"
"ENSG00000007001_UPP2",-3.22748317213444,-3.79248577800959,7.96812088484486,0.00476083357686007,"Down"
"ENSG00000017427_IGF1",-3.13668963176121,-3.82201576231444,7.28593235160289,0.00694966529358622,"Down"
"ENSG00000089012_SIRPG",-3.42688927305242,-3.67548837942639,9.61246758966166,0.0019326078196371,"Down"
"ENSG00000100249_C22orf31",-3.38929206718844,-3.75817942909478,8.63764408961985,0.00329286975125447,"Down"
"ENSG00000103426_CORO7-PAM16",-5.55999891501335,-2.70994399856763,16.6567984794986,4.47894919316115e-05,"Down"
"ENSG00000103460_TOX3",-3.48317691758811,-3.29718568919158,13.4738725976071,0.000241908501131256,"Down"
"ENSG00000116039_ATP6V1B1",-3.67243548853722,1.20872694009769,20.0324006816986,7.61410484380962e-06,"Down"
"ENSG00000117322_CR2",-3.10381771502728,-3.82277404898518,6.80605771028506,0.00908491213011494,"Down"
"ENSG00000119973_PRLHR",-3.12930739431586,-3.80113229986163,6.89826335824898,0.00862795209910553,"Down"
"ENSG00000120215_MLANA",-3.13668963176121,-3.82201576231444,7.28593235160289,0.00694966529358622,"Down"
"ENSG00000122756_CNTFR",-3.33995764417763,-3.77711804362167,8.48318452533863,0.0035844409943845,"Down"
"ENSG00000127324_TSPAN8",-3.40587256995987,-3.75086897245511,8.66728907332989,0.00323972784548576,"Down"
"ENSG00000132744_ACY3",-3.50465175528934,-3.71468167422345,9.33256090518655,0.00225117528149841,"Down"
"ENSG00000134240_HMGCS2",-3.21007323497616,-3.08518524961067,12.1602577316282,0.000488186307453994,"Down"
"ENSG00000139304_PTPRQ",-3.23032498177436,-2.05376293169135,27.7669048740252,1.36847171329828e-07,"Down"
"ENSG00000144837_PLA1A",-3.22627757263412,-3.77466125022122,7.08522876810682,0.0077721896916856,"Down"
"ENSG00000145002_FAM86B2",-3.49069972326626,-3.70941344972576,8.60724247584717,0.0033482885465443,"Down"
"ENSG00000146250_PRSS35",-3.0027125027405,-3.54843134832247,6.26327584441366,0.0123266068648184,"Down"
"ENSG00000149021_SCGB1A1",-3.38234816297101,4.20887193950834,10.4739251810754,0.00121071206207033,"Down"
"ENSG00000157766_ACAN",-3.05104966816896,-2.3736770428023,10.1684780821138,0.00142862153934409,"Down"
"ENSG00000164007_CLDN19",-3.81308187010723,-3.14798747339873,18.390513508679,1.79951665520658e-05,"Down"
"ENSG00000165794_SLC39A2",-3.02455272015755,1.58275829013889,12.4781186028515,0.000411746679873403,"Down"
"ENSG00000169413_RNASE6",-3.38708594492109,-3.73202330470346,8.34230317862722,0.00387324655200581,"Down"
"ENSG00000169508_GPR183",-3.12012762161969,-3.81822535973963,6.83365424868022,0.00894560644465807,"Down"
"ENSG00000170498_KISS1",-3.54595927402563,-1.59268336617031,12.4689982321918,0.000413761930294762,"Down"
"ENSG00000171885_AQP4",-3.19222080924922,-1.51095388316661,13.1391312623547,0.000289191914360073,"Down"
"ENSG00000173578_XCR1",-3.80688689482096,-3.65746493680925,9.11964210496194,0.00252879430655617,"Down"
"ENSG00000176289_IDSP1",-3.90690211544774,-2.39224667838031,20.6624230585729,5.47805921585872e-06,"Down"
"ENSG00000176812_AC112778.1",-3.21738805486302,-3.80334867777327,7.65694686719298,0.0056554129082055,"Down"
"ENSG00000177138_FAM9B",-3.32413611783369,-3.7752873131202,8.0909967711869,0.00444856891847775,"Down"
"ENSG00000177807_KCNJ10",-3.37235084213929,-3.73971237769,7.54243945922989,0.0060262398032505,"Down"
"ENSG00000182348_ZNF804B",-3.72946477872625,-3.66563650884025,11.0379630644647,0.000892648871555345,"Down"
"ENSG00000184188_AC026410.1",-3.66181204905758,-3.69599500368917,10.7065544391468,0.00106756655782847,"Down"
"ENSG00000186007_LEMD1",-3.11892415521283,0.702277825810191,16.2193480422753,5.64149864713901e-05,"Down"
"ENSG00000186810_CXCR3",-4.02292683494116,-3.58281307007954,13.5223734316211,0.000235736090584427,"Down"
"ENSG00000188828_GLRA4",-3.5723138238939,-3.70387150762302,8.83698634860628,0.00295186179801444,"Down"
"ENSG00000189182_KRT77",-5.59111267649399,-1.88249701816269,20.9501528906435,4.71390207704522e-06,"Down"
"ENSG00000205277_MUC12",-3.22700128790771,-3.77055712927086,7.21796656946516,0.00721774259074188,"Down"
"ENSG00000205426_KRT81",-3.29391887689621,3.84899872194032,11.8231306282272,0.000584994172813918,"Down"
"ENSG00000212658_KRTAP29-1",-4.12264423903041,-3.52160456141655,13.1240380853812,0.000291530999259079,"Down"
"ENSG00000213335_CLNS1AP1",-3.04218848905283,-3.48105522074978,9.72042862071235,0.00182231012856548,"Down"
"ENSG00000213467_HMGB1P37",-3.22924971202263,-3.80381997823265,7.9066934855667,0.00492522114762954,"Down"
"ENSG00000213538_KRT8P41",-3.14658371399353,-3.82455798140191,7.59233771233448,0.00586168912840903,"Down"
"ENSG00000213671_OLA1P2",-3.38976972401104,-3.76359570836421,8.67882454944896,0.00321928553866962,"Down"
"ENSG00000213727_AP000533.1",-4.09562841898587,-3.53339248712765,12.5727304524641,0.00039141628901341,"Down"
"ENSG00000214035_AC073310.1",-3.53842625678526,-3.14495747778344,13.5622286469091,0.000230782911261683,"Down"
