ID	GENS00054893	GENS00054894	GENS00054895	GENS00054896	GENS00054897	GENS00054898	
"ENSG00000000003_TSPAN6"	28.00	23.30	25.51	17.33	16.96	13.91
"ENSG00000000005_TNMD"	0.00	0.00	0.00	0.00	0.00	0.02
"ENSG00000000419_DPM1"	32.51	34.84	39.46	53.25	54.57	61.09
"ENSG00000000457_SCYL3"	3.73	3.59	3.83	3.56	3.45	3.34
"ENSG00000000460_C1orf112"	4.09	4.59	6.05	6.64	7.03	8.05
"ENSG00000000938_FGR"	0.01	0.07	0.02	0.11	0.25	0.11
"ENSG00000000971_CFH"	19.17	17.67	18.78	17.24	17.03	16.69
"ENSG00000001036_FUCA2"	25.31	28.50	28.41	20.05	19.69	19.20
"ENSG00000001084_GCLC"	150.68	140.66	137.41	132.31	126.78	124.79
"ENSG00000001167_NFYA"	9.38	9.57	9.33	11.35	10.72	12.71
"ENSG00000001460_STPG1"	9.09	8.64	8.75	11.88	12.89	12.92
"ENSG00000001461_NIPAL3"	42.96	42.76	40.91	25.87	27.62	26.21
"ENSG00000001497_LAS1L"	13.41	14.95	15.97	23.96	23.44	26.23
"ENSG00000001561_ENPP4"	0.98	0.65	0.51	1.19	1.32	1.06
"ENSG00000001617_SEMA3F"	85.37	86.35	81.24	53.64	47.36	50.98
"ENSG00000001626_CFTR"	0.03	0.01	0.00	0.01	0.01	0.04
"ENSG00000001629_ANKIB1"	27.54	26.07	27.53	24.94	26.47	22.50
"ENSG00000001630_CYP51A1"	152.81	139.16	141.20	51.74	48.20	52.78
"ENSG00000001631_KRIT1"	17.78	13.96	17.08	17.70	21.16	22.21
"ENSG00000002016_RAD52"	2.18	2.46	1.90	5.09	5.93	5.51
"ENSG00000002079_MYH16"	2.79	2.88	2.49	2.24	2.60	2.02
"ENSG00000002330_BAD"	18.93	21.66	19.04	16.76	14.92	16.44
"ENSG00000002549_LAP3"	27.34	26.52	28.76	41.59	40.76	41.45
"ENSG00000002586_CD99"	131.57	156.13	153.03	126.03	121.54	122.28
