ID	GENS00054893	GENS00054894	GENS00054895	GENS00054896	GENS00054897	GENS00054898	
"ENSG00000000003_TSPAN6"	48.75	40.36	44.35	30.21	28.98	23.99
"ENSG00000000005_TNMD"	0.00	0.00	0.00	0.00	0.00	0.03
"ENSG00000000419_DPM1"	56.60	60.35	68.61	92.83	93.22	105.40
"ENSG00000000457_SCYL3"	6.50	6.22	6.66	6.21	5.89	5.77
"ENSG00000000460_C1orf112"	7.13	7.95	10.52	11.58	12.01	13.89
"ENSG00000000938_FGR"	0.02	0.12	0.04	0.19	0.42	0.19
"ENSG00000000971_CFH"	33.37	30.60	32.65	30.05	29.10	28.79
"ENSG00000001036_FUCA2"	44.07	49.37	49.39	34.95	33.63	33.13
"ENSG00000001084_GCLC"	262.37	243.65	238.91	230.63	216.58	215.28
"ENSG00000001167_NFYA"	16.34	16.59	16.22	19.79	18.32	21.92
"ENSG00000001460_STPG1"	15.82	14.97	15.21	20.71	22.01	22.29
"ENSG00000001461_NIPAL3"	74.81	74.07	71.12	45.10	47.19	45.22
"ENSG00000001497_LAS1L"	23.35	25.90	27.77	41.76	40.05	45.25
"ENSG00000001561_ENPP4"	1.71	1.12	0.89	2.07	2.26	1.83
"ENSG00000001617_SEMA3F"	148.65	149.57	141.24	93.50	80.90	87.95
"ENSG00000001626_CFTR"	0.05	0.02	0.00	0.02	0.01	0.06
"ENSG00000001629_ANKIB1"	47.95	45.16	47.86	43.47	45.23	38.82
"ENSG00000001630_CYP51A1"	266.07	241.05	245.50	90.19	82.35	91.06
"ENSG00000001631_KRIT1"	30.95	24.18	29.70	30.85	36.16	38.32
"ENSG00000002016_RAD52"	3.80	4.27	3.30	8.87	10.13	9.51
"ENSG00000002079_MYH16"	4.86	4.99	4.32	3.90	4.44	3.48
"ENSG00000002330_BAD"	32.97	37.52	33.10	29.22	25.49	28.37
"ENSG00000002549_LAP3"	47.60	45.94	50.01	72.50	69.63	71.50
"ENSG00000002586_CD99"	229.10	270.45	266.06	219.69	207.64	210.95
"ENSG00000002587_HS3ST1"	5.15	5.97	6.80	11.53	11.98	12.36
"ENSG00000002726_AOC1"	0.76	0.79	0.58	1.20	0.96	0.57
"ENSG00000002745_WNT16"	0.04	0.00	0.01	0.28	0.35	0.39
"ENSG00000002746_HECW1"	0.32	0.06	0.01	0.19	0.02	0.00
"ENSG00000002822_MAD1L1"	13.50	15.01	15.41	17.16	16.97	15.57
"ENSG00000002834_LASP1"	161.37	174.33	175.20	128.01	115.92	122.44
"ENSG00000002919_SNX11"	10.17	12.55	11.19	10.96	9.60	10.93
"ENSG00000002933_TMEM176A"	0.00	0.00	0.00	0.06	0.13	0.06
"ENSG00000003056_M6PR"	75.33	80.25	81.52	108.81	105.28	115.92
"ENSG00000003096_KLHL13"	7.66	8.08	8.08	10.03	9.23	9.32
"ENSG00000003137_CYP26B1"	7.09	6.85	6.66	3.81	2.96	3.33
"ENSG00000003147_ICA1"	4.09	3.64	3.56	4.17	5.40	4.74
"ENSG00000003249_DBNDD1"	9.59	10.98	10.33	4.87	4.78	4.55
"ENSG00000003393_ALS2"	13.83	14.94	14.51	16.53	14.92	16.99
"ENSG00000003400_CASP10"	8.97	7.22	8.57	6.20	5.33	5.62
"ENSG00000003402_CFLAR"	223.20	215.72	216.80	100.75	95.13	92.49
"ENSG00000003436_TFPI"	42.89	34.74	32.57	19.27	21.39	17.70
"ENSG00000003509_NDUFAF7"	16.63	16.62	14.94	10.30	11.60	14.49
"ENSG00000003756_RBM5"	51.61	46.77	49.29	62.76	59.77	76.07
"ENSG00000003987_MTMR7"	0.08	0.01	0.03	0.04	0.02	0.02
"ENSG00000003989_SLC7A2"	1.47	1.25	1.33	1.17	1.20	1.09
"ENSG00000004059_ARF5"	141.06	142.46	138.82	128.13	123.90	114.70
"ENSG00000004139_SARM1"	0.69	0.56	0.46	1.22	0.91	0.61
"ENSG00000004142_POLDIP2"	72.32	75.47	73.80	80.84	79.37	86.44
"ENSG00000004399_PLXND1"	2.70	3.14	2.27	1.43	2.12	1.51
"ENSG00000004455_AK2"	129.47	132.26	139.91	192.57	189.03	202.45
"ENSG00000004468_CD38"	0.34	0.31	0.17	0.10	0.03	0.01
"ENSG00000004478_FKBP4"	101.93	106.09	111.22	95.59	91.51	104.08
"ENSG00000004487_KDM1A"	65.57	72.10	70.76	80.64	76.97	81.77
"ENSG00000004534_RBM6"	23.00	25.52	27.59	27.64	33.58	36.30
"ENSG00000004660_CAMKK1"	1.91	2.18	1.86	1.34	1.14	1.69
"ENSG00000004700_RECQL"	37.42	36.88	36.04	63.17	59.94	59.22
"ENSG00000004766_VPS50"	24.20	24.05	23.61	23.18	23.18	20.61
"ENSG00000004776_HSPB6"	0.41	0.23	0.31	0.81	1.09	0.94
"ENSG00000004777_ARHGAP33"	0.55	0.37	0.34	1.59	0.98	1.14
"ENSG00000004779_NDUFAB1"	111.68	119.14	123.93	126.93	139.41	134.63
"ENSG00000004799_PDK4"	2.17	1.59	2.04	0.18	0.13	0.23
"ENSG00000004809_SLC22A16"	0.00	0.00	0.00	0.00	0.00	0.00
"ENSG00000004838_ZMYND10"	0.16	0.25	0.00	0.18	0.56	0.35
"ENSG00000004846_ABCB5"	0.00	0.00	0.00	0.00	0.00	0.00
"ENSG00000004848_ARX"	0.00	0.00	0.00	0.04	0.01	0.03
"ENSG00000004864_SLC25A13"	15.93	20.49	21.74	25.37	24.96	25.84
"ENSG00000004866_ST7"	19.77	18.20	19.04	18.95	15.22	18.66
"ENSG00000004897_CDC27"	53.70	65.04	65.35	85.82	72.83	79.15
"ENSG00000004939_SLC4A1"	0.00	0.01	0.05	0.00	0.01	0.01
"ENSG00000004948_CALCR"	0.00	0.00	0.00	0.00	0.00	0.00
"ENSG00000004961_HCCS"	45.11	45.43	47.80	43.17	38.29	46.82
"ENSG00000004975_DVL2"	17.23	14.85	16.07	19.17	16.03	17.31
"ENSG00000005001_PRSS22"	80.20	60.88	53.96	31.72	31.93	26.07
"ENSG00000005007_UPF1"	61.75	53.70	62.98	60.11	57.96	63.07
"ENSG00000005020_SKAP2"	29.99	27.31	24.48	30.14	32.13	25.93
"ENSG00000005022_SLC25A5"	402.97	408.22	388.63	453.37	471.24	439.58
"ENSG00000005059_MCUB"	10.56	10.06	11.02	15.39	16.71	17.16
"ENSG00000005073_HOXA11"	0.00	0.05	0.05	0.06	0.04	0.07
"ENSG00000005075_POLR2J"	36.04	35.73	28.91	34.36	37.40	36.71
"ENSG00000005100_DHX33"	12.91	14.61	14.37	22.58	20.01	25.04
"ENSG00000005102_MEOX1"	0.40	0.47	0.39	0.19	0.23	0.23
"ENSG00000005108_THSD7A"	0.44	0.51	0.58	0.20	0.45	0.09
"ENSG00000005156_LIG3"	14.27	15.58	19.56	20.72	20.85	21.64
"ENSG00000005175_RPAP3"	33.17	32.52	39.25	49.75	47.55	57.22
"ENSG00000005187_ACSM3"	1.16	1.95	2.25	1.03	0.67	0.60
"ENSG00000005189_REXO5"	1.47	2.03	1.31	5.03	5.92	4.53
"ENSG00000005194_CIAPIN1"	41.53	40.17	41.93	45.24	41.69	56.44
