ID	GENS00054893	GENS00054894	GENS00054895	GENS00054896	GENS00054897	GENS00054898	
"ENSG00000000003_TSPAN6"	3275.56	2818.15	2877.00	2121.00	1996.02	1826.00
"ENSG00000000005_TNMD"	0.00	0.00	0.00	0.00	0.00	1.00
"ENSG00000000419_DPM1"	1495.06	1688.00	1855.64	2579.00	2451.00	2830.06
"ENSG00000000457_SCYL3"	684.00	689.31	693.00	660.00	631.00	643.00
"ENSG00000000460_C1orf112"	413.32	524.11	582.00	801.00	784.00	878.01
"ENSG00000000938_FGR"	1.00	2.00	2.00	12.00	19.00	12.00
"ENSG00000000971_CFH"	3247.59	3111.92	3247.77	2940.39	2823.76	2714.96
"ENSG00000001036_FUCA2"	2701.99	3108.54	3109.66	2227.00	1986.98	1980.99
"ENSG00000001084_GCLC"	15846.21	14290.57	14011.46	14819.65	12983.39	13355.08
"ENSG00000001167_NFYA"	1485.00	1601.00	1543.66	1897.00	1759.66	2062.92
"ENSG00000001460_STPG1"	840.04	945.28	941.07	1099.00	1047.00	1084.00
"ENSG00000001461_NIPAL3"	9533.51	9809.77	9374.08	5725.02	5747.00	5526.99
"ENSG00000001497_LAS1L"	1417.60	1630.26	1718.71	2660.00	2436.00	2739.00
"ENSG00000001561_ENPP4"	208.00	142.00	112.00	261.00	272.00	223.00
"ENSG00000001617_SEMA3F"	10723.65	11346.11	10680.74	7339.30	6280.09	6400.52
"ENSG00000001626_CFTR"	4.00	2.00	0.00	1.00	1.00	1.00
"ENSG00000001629_ANKIB1"	4965.92	5009.86	5002.10	4660.00	4334.00	4188.00
"ENSG00000001630_CYP51A1"	18904.50	18127.85	18359.19	6982.13	6087.38	7064.26
"ENSG00000001631_KRIT1"	1894.76	1639.89	1768.26	1876.85	2083.77	2103.11
"ENSG00000002016_RAD52"	173.93	180.44	191.86	388.45	340.76	394.75
"ENSG00000002079_MYH16"	399.00	415.18	377.00	306.00	337.00	284.00
"ENSG00000002330_BAD"	753.01	887.00	795.72	669.97	559.00	641.00
"ENSG00000002549_LAP3"	2048.99	2039.95	2117.92	3408.73	3142.40	3181.90
"ENSG00000002586_CD99"	6253.98	7777.63	7540.48	6268.66	5660.77	5796.62
"ENSG00000002587_HS3ST1"	912.00	1129.99	1196.89	2222.00	2189.00	2286.99
"ENSG00000002726_AOC1"	49.00	54.00	38.00	81.00	61.00	36.00
"ENSG00000002745_WNT16"	3.00	0.00	1.00	16.00	28.00	26.00
"ENSG00000002746_HECW1"	4.00	8.00	2.00	4.00	3.00	1.00
"ENSG00000002822_MAD1L1"	508.82	613.99	600.00	724.63	581.00	643.01
"ENSG00000002834_LASP1"	15804.16	17784.88	17642.91	12800.55	11198.14	11899.61
"ENSG00000002919_SNX11"	533.00	627.00	628.00	542.00	459.00	536.00
"ENSG00000002933_TMEM176A"	0.00	0.00	0.00	1.00	2.00	1.00
"ENSG00000003056_M6PR"	4724.14	5236.03	5193.59	6786.66	6229.09	6727.99
"ENSG00000003096_KLHL13"	606.00	645.99	683.39	813.00	753.00	770.00
"ENSG00000003137_CYP26B1"	745.32	784.95	749.55	352.05	303.00	356.00
"ENSG00000003147_ICA1"	170.00	156.00	153.00	160.99	196.00	176.00
"ENSG00000003249_DBNDD1"	479.00	556.83	515.00	246.00	237.00	237.00
"ENSG00000003393_ALS2"	1737.59	1857.49	1865.00	1762.01	1586.54	1758.90
"ENSG00000003400_CASP10"	948.00	812.00	832.00	564.00	543.00	543.00
"ENSG00000003402_CFLAR"	19114.00	18813.97	19515.54	12108.24	11817.92	11661.77
"ENSG00000003436_TFPI"	2364.01	1851.75	1927.62	1223.00	1262.00	1098.00
"ENSG00000003509_NDUFAF7"	544.00	539.70	449.78	411.00	403.00	504.00
"ENSG00000003756_RBM5"	2289.13	2297.51	2387.00	2898.33	2942.61	3209.79
"ENSG00000003987_MTMR7"	3.00	1.00	3.95	6.00	3.00	3.00
"ENSG00000003989_SLC7A2"	292.98	260.58	269.05	243.92	220.95	219.02
"ENSG00000004059_ARF5"	3324.86	3411.38	3290.74	3098.97	2779.94	2800.37
"ENSG00000004139_SARM1"	71.00	59.00	50.00	76.00	62.77	62.00
"ENSG00000004142_POLDIP2"	3639.52	3929.95	3812.05	4229.18	3975.01	4355.97
"ENSG00000004399_PLXND1"	143.39	157.00	149.00	87.00	93.00	95.00
"ENSG00000004455_AK2"	5263.57	5647.09	5678.13	7685.64	7142.02	7967.83
"ENSG00000004468_CD38"	18.00	8.00	11.00	8.00	4.00	2.00
"ENSG00000004478_FKBP4"	8145.06	9268.51	9263.49	7476.00	6957.24	8043.46
"ENSG00000004487_KDM1A"	5153.54	5846.74	5774.94	6590.23	6022.96	6456.62
"ENSG00000004534_RBM6"	1872.51	1956.72	2153.97	2361.92	2176.73	2632.20
"ENSG00000004660_CAMKK1"	172.00	202.93	174.00	126.00	103.00	153.00
"ENSG00000004700_RECQL"	3153.01	3354.98	3213.10	5445.00	5058.42	5181.99
"ENSG00000004766_VPS50"	1538.01	1671.85	1758.99	1551.64	1438.69	1409.87
"ENSG00000004776_HSPB6"	15.00	8.97	12.00	31.00	39.89	35.00
"ENSG00000004777_ARHGAP33"	45.00	29.91	39.00	70.00	58.00	88.00
"ENSG00000004779_NDUFAB1"	1755.00	1957.17	1996.85	2076.00	2163.00	2121.00
"ENSG00000004799_PDK4"	174.95	153.00	177.63	13.00	9.00	11.00
"ENSG00000004809_SLC22A16"	0.00	0.00	0.00	0.00	0.00	0.00
"ENSG00000004838_ZMYND10"	3.00	4.00	0.00	7.00	11.00	9.00
"ENSG00000004846_ABCB5"	0.00	0.00	0.00	0.00	0.00	0.00
"ENSG00000004848_ARX"	0.00	0.00	0.00	3.00	1.00	2.00
"ENSG00000004864_SLC25A13"	1299.99	1708.92	1714.32	2097.00	1913.00	1979.23
"ENSG00000004866_ST7"	1007.47	972.85	1023.02	879.14	820.41	875.26
"ENSG00000004897_CDC27"	5144.76	5413.80	5509.20	7169.62	6500.41	7240.64
"ENSG00000004939_SLC4A1"	0.00	2.00	2.00	0.00	1.00	1.00
"ENSG00000004948_CALCR"	0.00	0.00	0.00	0.00	0.00	0.00
"ENSG00000004961_HCCS"	1716.32	1845.99	1893.77	1786.43	1579.00	1940.99
"ENSG00000004975_DVL2"	996.05	963.15	869.00	1061.83	938.99	1029.68
"ENSG00000005001_PRSS22"	2572.91	2085.86	1771.50	1021.26	994.01	803.95
"ENSG00000005007_UPF1"	7432.32	7356.49	7165.42	7903.08	6434.41	7519.00
"ENSG00000005020_SKAP2"	2499.33	2108.05	2046.97	2575.00	2517.00	2255.00
"ENSG00000005022_SLC25A5"	13079.61	13799.45	13156.19	15354.46	15194.27	14389.62
"ENSG00000005059_MCUB"	578.00	579.00	618.13	904.44	911.00	986.00
"ENSG00000005073_HOXA11"	0.00	3.00	3.00	4.00	2.00	4.00
"ENSG00000005075_POLR2J"	823.90	851.61	682.88	813.27	843.52	840.31
"ENSG00000005100_DHX33"	1754.96	2042.96	2009.02	3195.00	2652.00	3304.77
"ENSG00000005102_MEOX1"	24.00	27.00	28.00	10.00	13.00	9.00
"ENSG00000005108_THSD7A"	29.30	48.14	44.48	35.90	35.61	26.34
"ENSG00000005156_LIG3"	1248.07	1328.96	1232.00	1542.00	1360.00	1581.00
"ENSG00000005175_RPAP3"	1628.05	1688.96	1804.50	2642.66	2351.01	2798.00
"ENSG00000005187_ACSM3"	57.00	60.00	47.00	36.00	25.00	15.00
"ENSG00000005189_REXO5"	90.00	108.00	72.00	297.00	294.00	246.00
"ENSG00000005194_CIAPIN1"	1321.91	1519.70	1557.41	1675.76	1499.69	1938.84
"ENSG00000005206_SPPL2B"	367.00	342.00	317.00	409.00	363.00	433.00
"ENSG00000005238_FAM214B"	2081.46	2590.10	2415.00	1283.00	1151.90	1230.00
"ENSG00000005243_COPZ2"	270.00	251.00	192.00	309.00	320.00	244.00
"ENSG00000005249_PRKAR2B"	35.81	31.87	30.88	62.38	55.99	57.25
"ENSG00000005302_MSL3"	1267.53	1377.36	1319.01	1396.43	1313.74	1343.51
"ENSG00000005339_CREBBP"	4555.21	4389.34	4415.16	4970.05	4444.87	4651.02
"ENSG00000005379_TSPOAP1"	6.00	9.00	15.00	9.00	1.00	4.00
"ENSG00000005381_MPO"	0.00	0.00	0.00	2.00	0.00	0.00
"ENSG00000005421_PON1"	0.00	0.00	0.00	0.00	0.00	0.00
"ENSG00000005436_GCFC2"	475.00	564.00	561.03	900.00	884.00	1016.00
"ENSG00000005448_WDR54"	361.04	364.00	346.97	859.03	808.99	732.00
"ENSG00000005469_CROT"	3910.97	3470.27	3756.15	2095.00	2088.01	2028.00
"ENSG00000005471_ABCB4"	2.99	3.00	0.00	2.01	1.54	0.00
"ENSG00000005483_KMT2E"	6405.67	6060.76	6284.31	5733.13	5485.24	5506.14
"ENSG00000005486_RHBDD2"	1938.43	1833.59	1827.00	1021.00	885.00	915.01
"ENSG00000005513_SOX8"	0.00	4.00	3.00	1.00	5.00	4.00
"ENSG00000005700_IBTK"	4649.34	4700.91	4704.77	6263.03	5965.42	5842.73
"ENSG00000005801_ZNF195"	786.49	817.38	919.00	1812.80	1833.99	2080.27
"ENSG00000005810_MYCBP2"	6078.18	6552.36	6418.70	6902.06	6711.68	6305.03
"ENSG00000005812_FBXL3"	2399.00	2368.46	2400.99	2761.00	2573.00	2575.01
"ENSG00000005844_ITGAL"	2.00	2.00	0.00	0.00	0.00	6.00
"ENSG00000005882_PDK2"	466.51	463.01	415.25	531.00	432.00	432.07
"ENSG00000005884_ITGA3"	26629.52	32067.30	29965.29	31620.79	27975.53	30611.06
"ENSG00000005889_ZFX"	2337.31	2385.16	2403.95	3586.97	3278.87	3520.74
"ENSG00000005893_LAMP2"	11877.23	11588.84	11382.35	10226.12	9630.75	9399.98
"ENSG00000005961_ITGA2B"	5.00	0.00	5.00	4.89	5.00	3.00
"ENSG00000005981_ASB4"	3.00	5.00	1.00	2.00	2.00	3.00
"ENSG00000006007_GDE1"	6607.05	6792.60	6869.94	3623.52	3343.00	3596.00
"ENSG00000006015_REX1BD"	222.01	231.00	195.99	301.00	209.00	301.00
"ENSG00000006016_CRLF1"	105.03	124.25	109.88	47.26	35.18	46.06
"ENSG00000006025_OSBPL7"	351.00	395.00	368.00	546.00	515.00	522.00
"ENSG00000006042_TMEM98"	487.00	509.87	432.00	639.00	681.00	639.00
"ENSG00000006047_YBX2"	69.00	40.00	41.00	18.00	15.00	25.00
"ENSG00000006059_KRT33A"	4.00	1.00	0.00	6.00	3.00	4.00
"ENSG00000006062_MAP3K14"	311.03	344.00	319.57	414.79	402.00	401.00
"ENSG00000006071_ABCC8"	0.00	0.00	0.00	2.00	1.00	0.00
"ENSG00000006116_CACNG3"	0.00	0.00	0.00	0.00	0.00	0.00
"ENSG00000006118_TMEM132A"	9932.77	9445.63	8580.47	5139.00	4547.84	4947.24
"ENSG00000006125_AP2B1"	26746.16	28663.16	27805.48	37809.81	36131.01	34154.06
"ENSG00000006128_TAC1"	0.00	1.00	0.00	0.00	1.00	0.00
"ENSG00000006194_ZNF263"	686.00	654.00	730.00	709.87	646.00	828.00
