"gene_name","logFC","logCPM","LR","PValue","group"
"ACAN",-3.53008567180949,-1.85523210002868,10.6832247793475,0.00108111431908854,"Down"
"BTF3P11",-3.11265185737743,-3.10171901647444,11.4356227709465,0.00072049321935132,"Down"
"CR2",-3.19523247610111,-3.48275746793745,7.98686148443785,0.00471180240843865,"Down"
"CSF2RB",-3.12425651114714,-3.09831694133365,11.7731859454308,0.000600900434986258,"Down"
"CXCR3",-4.22697844972733,-3.1771689537717,16.4099600536807,5.10164550247981e-05,"Down"
"GPR183",-3.41830939396353,-3.42944399187544,9.04514473441207,0.00263393376387382,"Down"
"HMGCS2",-3.37115184611825,-2.66023251032191,12.5538888040982,0.000395382636850183,"Down"
"IGF1",-3.40053795126265,-3.43371857894986,9.39799887831924,0.00217222403224115,"Down"
"ITIH2",-3.19653984526931,-3.48282133326731,8.11558607376467,0.00438862823257077,"Down"
"KRT77",-6.07601422091124,-1.25731591919421,21.3043032880114,3.91850864452354e-06,"Down"
"LOC283710",-3.5641842730783,-3.39124473328942,10.4875842615947,0.0012017940242543,"Down"
"PGK2",-3.19696561125595,-3.48294905957038,8.17659375075228,0.00424343688425302,"Down"
"PTGIR",-3.19523247610111,-3.48275746793745,7.98686148443785,0.00471180240843865,"Down"
"PTTG2",-4.4095675520997,-3.10315629167649,16.3498464517005,5.26604287769538e-05,"Down"
"SIRPG",-3.73457620284936,-3.34207061540645,11.9413631458522,0.00054901295862544,"Down"
