"gene_name","logFC","logCPM","LR","PValue","group"
"ACAN",-3.70838549800335,-1.98415587122817,46.5661358320523,8.85778515671066e-12,"Down"
"APOB",-3.27223506155325,-1.64696218014359,43.8557205113711,3.53496440325237e-11,"Down"
"AQP4",-3.37865926782284,-1.06674687892027,65.3534790193472,6.25993175198204e-16,"Down"
"CLDN19",-4.01278639647684,-2.77439194560394,27.3703110945339,1.67990648274623e-07,"Down"
"HMGCS2",-3.51825117605455,-2.74448027265637,31.5662385060174,1.92751762415831e-08,"Down"
"KISS1",-3.86586692505905,-1.00712894375026,70.2062255948935,5.34175885876469e-17,"Down"
"KRT77",-6.25324782626606,-1.43152493197234,81.7306087822895,1.55959295738192e-19,"Down"
"LPL",-3.06730929909219,-2.5266699238745,26.9549996092785,2.08247780563628e-07,"Down"
"NFE2",-3.03387934947405,-1.39329348641347,46.1416805632319,1.10003133850384e-11,"Down"
"NRTN",-3.05137496044113,-1.95991582586918,37.210793867104,1.0602529439952e-09,"Down"
"PRB2",-3.14820225574137,-2.1169965024987,33.4977148699077,7.13477675198081e-09,"Down"
"PSG2",-3.12295366354147,-0.40610518036139,16.4586293276824,4.97233321675797e-05,"Down"
"PSG3",-4.05756581406985,-1.89300917230462,57.3832609836752,3.58646644927142e-14,"Down"
"PSG4",-3.30355794643255,-1.17245127493096,69.2421332220079,8.70876032955023e-17,"Down"
"PTPRQ",-3.16325354599505,-1.80336026878637,45.8791245281541,1.25779170057379e-11,"Down"
"TMPRSS3",-3.11229177393205,-1.24281297826635,43.5665599478475,4.09781826604503e-11,"Down"
"ZBTB16",-3.30136790874584,2.23512152309427,125.317446287459,4.33708159584945e-29,"Down"
