"gene_name","logFC","logCPM","LR","PValue","group"
"ACAN",-3.69586434315761,-1.98391294704587,46.3479828516005,9.90093798556786e-12,"Down"
"APOB",-3.26599864280333,-1.64670100651214,43.7403373690214,3.74963228562726e-11,"Down"
"AQP4",-3.37345461152736,-1.06643004290012,65.2814699440869,6.4929003735852e-16,"Down"
"CLDN19",-4.01152602611978,-2.77435960671487,27.3639128149137,1.6854740586041e-07,"Down"
"HMGCS2",-3.50793744630916,-2.7443508365306,31.4536055901952,2.04262954441002e-08,"Down"
"KISS1",-3.85911527553122,-1.00674163818264,70.0476565711932,5.78888622816176e-17,"Down"
"KRT77",-6.24014848564201,-1.43119474799122,81.498787218913,1.7536915444593e-19,"Down"
"LPL",-3.05652139627486,-2.52651127898456,26.7984387617165,2.25819703016625e-07,"Down"
"NFE2",-3.03325981564516,-1.39316519919607,46.1986007110438,1.06853267368897e-11,"Down"
"NRTN",-3.04828291696034,-1.95975804841605,37.1718677309446,1.08162975274609e-09,"Down"
"PRB2",-3.14113441333421,-2.11680349151764,33.3812459039878,7.57509311009704e-09,"Down"
"PSG2",-3.12167143385682,-0.405884108053458,16.4467177831569,5.00367386406398e-05,"Down"
"PSG3",-4.04958729718979,-1.8927700864653,57.2021782357228,3.93235411820272e-14,"Down"
"PSG4",-3.29846689133404,-1.17214669483833,69.1223179727667,9.25421962254759e-17,"Down"
"PTPRQ",-3.16458103170955,-1.80353718625978,45.9619749574158,1.2057066537546e-11,"Down"
"TMPRSS3",-3.10567018775348,-1.24250045215682,43.4547648468693,4.33873886079247e-11,"Down"
"ZBTB16",-3.29383036889654,2.23552449551756,125.305280033507,4.36375359854383e-29,"Down"
