"gene_name","logFC","logCPM","LR","PValue","group"
"ACAN",-3.22852536666192,-2.13977692419081,12.7669487730483,0.000352797847737572,"Down"
"ACY3",-3.48373370064154,-3.45473555202013,8.96555040421307,0.00275117804414084,"Down"
"AQP4",-3.0028709595008,-1.22951255322356,12.375691449294,0.000434959695354995,"Down"
"ATP6V1B1",-3.24036656576718,1.68279917429239,21.1422066694489,4.26431869805216e-06,"Down"
"C20orf203",-3.51955037530756,-3.43652563422345,9.13892506856506,0.00250228069636986,"Down"
"C22orf31",-3.35832262599571,-3.50180180024346,8.31441556854127,0.00393316573606179,"Down"
"CHRNG",-3.39076539277563,-3.466462470033,8.04261225794469,0.00456896019984726,"Down"
"CLDN19",-3.9563182016463,-2.79807135982021,19.2530043170272,1.14490071100132e-05,"Down"
"CNTFR",-3.69170229218689,-3.41043485184025,10.3014840706148,0.00132923265987665,"Down"
"CR2",-3.08472110922658,-3.56680897881921,6.74590531849132,0.00939630842381642,"Down"
"CXCR3",-4.08165567349755,-3.29656830815563,13.5795155446571,0.000228667243879036,"Down"
"GPR183",-3.27698150425812,-3.51944384135486,7.48287770786885,0.00622884416447018,"Down"
"HMGCS2",-3.16193272647177,-2.8425714850875,11.8300201211561,0.000582833644980037,"Down"
"IGF1",-3.29820562514212,-3.52320271250202,8.05060018994504,0.00454885816211729,"Down"
"ITIH2",-3.10363652367857,-3.56699680211644,7.03704482405492,0.00798406621391945,"Down"
"KISS1",-3.47605566741554,-1.20091328956192,15.7761749789602,7.12946664969493e-05,"Down"
"KRT77",-5.59741067963992,-1.61670351254522,22.93704526655,1.67394519672131e-06,"Down"
"KRT81",-3.19251631938362,3.94767242740975,12.4633796270166,0.000415008376000446,"Down"
"KRTAP29-1",-3.50607167283283,-3.45447900046717,7.53015601686892,0.00606746528820299,"Down"
"LOC283710",-4.24747855102767,-3.28055959610535,10.4408560726387,0.00123258128710032,"Down"
"LOC728989",-3.38105016512488,-3.47093140425142,7.3591130850751,0.00667236964494802,"Down"
"MIR125B2",-3.38245111757296,-3.49094494521347,7.0026660079368,0.00813884158696075,"Down"
"MIR331",-3.04226548190551,-3.55347272269889,6.66807435627528,0.00981551849365248,"Down"
"MIR98",-3.0910838443536,-3.24451260248489,6.33410975760186,0.0118437549639668,"Down"
"PGK2",-3.11255710327009,-3.56737246935974,7.18491231610397,0.00735191451749136,"Down"
"PLA1A",-3.84628518217434,-3.3467762026862,11.1571377054676,0.000837089758871713,"Down"
"PSG3",-3.66547605238498,-2.04068853037162,18.4299463619107,1.76266000279128e-05,"Down"
"PTGIR",-3.08472110922658,-3.56680897881921,6.74590531849132,0.00939630842381642,"Down"
"PTPRQ",-3.39425171335909,-1.69917143591739,27.2179652592872,1.8176186353618e-07,"Down"
"PTTG2",-4.21886575432576,-3.2315530626375,13.7831266037271,0.000205170686315165,"Down"
"SCGB1A1",-3.30840194620381,4.5189489233785,10.702967262718,0.00106963844024687,"Down"
"SIRPG",-3.62130929179048,-3.44237056539417,10.1437819099292,0.00144788806299968,"Down"
"TOX3",-3.4340055354382,-3.04659394479251,12.5812909950877,0.00038962749696096,"Down"
"TSPAN8",-3.37752278792095,-3.49299262216701,8.35869410608692,0.00383846321798715,"Down"
"UPP2",-3.83727710956087,-3.35041695876676,11.1317111896956,0.000848642647733249,"Down"
"VPS13A-AS1",-3.49936544557761,-3.43341566962229,8.38103135642127,0.0037915720658722,"Down"
"ZBTB16",-3.18370050768151,2.1371735776,11.8811764515372,0.00056704112835863,"Down"
"ZNF804B",-4.05356261645852,-3.29924572500417,13.3075001192764,0.000264346573529352,"Down"
