"gene_name","logFC","logCPM","LR","PValue","group"
"ARC",4.63836706448622,-0.721504941700962,57.1935267398165,3.9496903979127e-14,"Up"
"CCDC178",3.22190514404682,-1.27574045587438,55.4691830319548,9.49357150642447e-14,"Up"
"CCDC65",4.68838238178978,-2.97194951472268,8.48950501166496,0.00357200976429842,"Up"
"CEND1",4.11545746207227,-2.6179797386274,28.4768235164185,9.48268439343707e-08,"Up"
"CYP26A1",6.6351094307855,-1.72022143790343,32.8957697859053,9.72346181315251e-09,"Up"
"FAT3",3.006112149739,-1.55680673361488,21.8336247317955,2.97343373125255e-06,"Up"
"FSD1",3.11810547736231,-1.44149358080304,49.1990918543227,2.31257744337786e-12,"Up"
"IFI27",4.2946113326683,3.62257036062159,17.8260381148593,2.42048162904435e-05,"Up"
"KRTAP19-1",4.67874404372716,-3.01398919216323,23.6735601007296,1.14139940686402e-06,"Up"
"LINC00332",3.04544097167247,-2.78539434904048,17.1127790167148,3.52244983309267e-05,"Up"
"LINC00515",4.08943770281902,-2.21310219578032,41.0162227770596,1.50970864021325e-10,"Up"
"LINGO1",3.91422754075275,-2.74806679768395,25.4903216773071,4.44607650745093e-07,"Up"
"LOC100130238",3.18497659251975,-3.0631130000497,13.8196384556104,0.000201221955832886,"Up"
"LOC100190986",3.62974450917913,-1.67351409328697,13.195401896707,0.000280636812158861,"Up"
"MIR936",3.14259696114756,-1.8783742358647,40.275306669998,2.20579450325298e-10,"Up"
"NPTX2",3.04830687233965,-2.78749784981073,17.4729107624215,2.91430787004409e-05,"Up"
"RAB39B",4.73238052301188,-0.901475352016585,100.672763272744,1.08507455849788e-23,"Up"
"SH2D1A",3.00828190965905,-2.81791775276664,16.7561467277916,4.25043459883957e-05,"Up"
"SNORD114-10",3.72098320352299,-2.79888026990344,3.98306097793666,0.0459599708087253,"Up"
"WNT16",3.01709621260971,-1.7929096898347,33.7486184210904,6.27135667329952e-09,"Up"
"ZCCHC12",5.47130814460732,-2.5489256955082,20.4108952468706,6.24731076918453e-06,"Up"
