"gene_name","logFC","logCPM","LR","PValue","group"
"ACRV1",3.55173921014858,-3.44724779064399,9.40896234478652,0.00215927389265973,"Up"
"ACTL8",3.55461067960634,-3.44685535916897,9.45634557602683,0.00210419874646062,"Up"
"ANKRD63",3.39304193906264,-3.48849578725059,8.39067849021929,0.00377150102131302,"Up"
"ARC",4.03924744429239,-0.929950697653879,11.0645404596582,0.000879943956470957,"Up"
"ARX",3.04631747666779,-3.5705453357805,6.68861705715053,0.00970304467903281,"Up"
"C3orf30",3.63567780132579,-3.41317983769929,9.86094161879082,0.00168824676249936,"Up"
"C8orf31",3.11030316884299,-3.54578642594772,6.86505092441208,0.00878977431637212,"Up"
"CABP4",3.26844742715542,-3.51564567900699,7.75086458003016,0.00536868332733449,"Up"
"CACNA1H",4.35664819951905,-3.15262498290033,14.831399649434,0.000117561758990883,"Up"
"CCDC65",4.6036855393857,-3.0555332760168,16.9371221598622,3.86385383983265e-05,"Up"
"CD300C",3.80851682301297,-3.3696805307784,11.0316614658948,0.000895688353053369,"Up"
"CEND1",3.95861554125175,-2.72977317013672,17.0439913438969,3.65237616914497e-05,"Up"
"CHKB",3.555971955529,-3.44290967677284,9.28843723130902,0.00230604807512414,"Up"
"CPXCR1",3.72093139863993,-3.39225037416633,10.3111087738343,0.00132231812808533,"Up"
"CXCR5",3.1048994267505,-3.52609310150265,6.25435948147627,0.012388803539943,"Up"
"CYP26A1",6.37898419983783,-1.90766322653554,26.1599778725453,3.14268985062102e-07,"Up"
"DCX",3.24187435888346,-3.52123219900186,7.4207206809276,0.00644769852569675,"Up"
"DOK2",3.60313031350596,-3.41525179384165,8.6196458248959,0.00332556501310666,"Up"
"EXOC3L4",3.04881498876295,-3.56718225313414,6.60487019507758,0.0101700217267095,"Up"
"FAM107A",3.12097381035704,-3.53671241059674,6.8806852624759,0.00871321505869919,"Up"
"FAM110D",3.21194539358434,-3.5315100347222,7.33956785293027,0.00674530531953293,"Up"
"FAM184B",3.5461658068967,-3.42267113941644,9.01613280997129,0.00267606981825273,"Up"
"FAM47C",3.8752157279529,-3.34139310692345,8.44904710304884,0.00365234755510001,"Up"
"FAM71D",3.68934550708159,-3.40574519556586,10.200976394709,0.00140366314680111,"Up"
"FGD5",3.48197459149327,-3.45133178808632,8.87122654297117,0.00289700432013514,"Up"
"FGL2",3.68383398346003,-3.40961473042457,10.2635315392523,0.00135685694566165,"Up"
"GLOD5",3.05889767271159,-3.56466605761509,6.67109696618199,0.00979888587341192,"Up"
"GNRH2",3.24208728103339,-3.52574975486556,7.63532593479988,0.00572360418419605,"Up"
"GOLGA6C",3.05092702364544,-3.56886352964401,6.70185947298808,0.0096312416384384,"Up"
"GYS2",3.15420565464972,-3.11560107245597,10.0934440581157,0.00148797745077585,"Up"
"HBA2",3.41174993872693,-3.48365613048318,8.55915553900648,0.00343788852996135,"Up"
"HCG9",4.12120201888439,-3.26325214069551,10.7795895580683,0.00102625435337209,"Up"
"HK3",3.29791058952925,-3.46658939923442,7.44094309597086,0.00637564716726921,"Up"
"HLA-DQA1",3.7921792900283,-3.35283565406594,10.1471513582226,0.00144524399375967,"Up"
"HNF1B",3.213717086535,-3.48151264944755,6.66869982583852,0.0098120743283314,"Up"
"HOXD1",3.95630654986472,-3.3021088901144,11.6471615054174,0.000643005752528708,"Up"
"ITIH3",3.04576202572803,-3.56760955349089,6.57165198719721,0.010361572979708,"Up"
"KCNN2",4.17018232386611,-3.23875537133531,13.3284996450598,0.000261402589505845,"Up"
"KRTAP19-1",4.67223866242465,-3.02394109036774,18.6423834261481,1.57675918525251e-05,"Up"
"KRTAP21-2",4.14621672541951,-3.24268588477566,13.1248119735593,0.000291410602317718,"Up"
"LHFPL5",3.59058514940143,-3.43115415167639,9.56149495498907,0.00198701224977955,"Up"
"LINC00189",3.47061553080437,-3.45568792440078,8.80307558374285,0.00300723170441849,"Up"
"LINC00486",3.30945200475029,-3.49505862091183,7.92331379523624,0.00488018056079825,"Up"
"LINC00514",3.88850634703295,-3.33671939433744,11.5738373640214,0.000668862431059514,"Up"
"LINC00515",3.95759130975829,-2.26386676709142,21.9954592730819,2.73296269011359e-06,"Up"
"LINC00624",3.26844742715542,-3.51564567900699,7.75086458003016,0.00536868332733449,"Up"
"LINGO1",3.88947895144689,-2.77676976618854,17.9018613270505,2.32593516936558e-05,"Up"
"LOC100128573",3.70592313501257,-3.38022060554838,10.1667293073964,0.00142997725169978,"Up"
"LOC100129083",4.55203667871808,-3.07523443288341,16.1196261170557,5.94645954580195e-05,"Up"
"LOC100130238",3.20581608901075,-3.02850521935757,8.19453121130481,0.00420168497606059,"Up"
"LOC100132781",3.5534612850718,-3.44448987159258,9.3116341593106,0.0022770329676963,"Up"
"LOC100190986",3.5236577074646,-1.86442651335185,13.2252314921928,0.000276205608640756,"Up"
"LRRC2-AS1",3.58799145739759,-3.4331232841058,9.61644082919866,0.00192843105137357,"Up"
"MCF2L-AS1",3.23816827783924,-3.5265780647621,7.59651507557095,0.00584812299188436,"Up"
"MGC70870",3.1113296539662,0.127252297921673,6.65467533188288,0.00988959888191344,"Up"
"MIR146A",3.17165547552448,-3.50315663675406,6.46410358541346,0.011007515417742,"Up"
"MIR3157",3.39662704323689,-3.47842145108524,7.93164318624661,0.00485776621304874,"Up"
"MIR3175",3.02743834792077,-3.57138179347171,6.43644247488783,0.0111802329487473,"Up"
"MIR3193",3.79735669319881,-3.37234543875364,10.8708855611579,0.000976878083131354,"Up"
"MIR4714",3.24208728103339,-3.52574975486556,7.63532593479988,0.00572360418419605,"Up"
"MIR4755",3.23816827783924,-3.5265780647621,7.59651507557095,0.00584812299188436,"Up"
"MIR4999",3.03333191637611,-3.57180935584527,6.53836720935019,0.0105572202103368,"Up"
"MIR5094",3.78260886459874,-3.36891388725539,10.2512597365994,0.00136591292757277,"Up"
